#   6  AB   g          r          i          z          Y          0.00054643
#   6  AB   -0.077  0.193  0.425  0.533  0.582  1.840
   145    290      6  -15.7094  -16.1902  -16.2866  -16.3055  -16.3100  -15.6914
   146    292      6  -15.9651  -16.3744  -16.4437  -16.4414  -16.4368  -15.7453
   147    294      6  -16.2014  -16.5439  -16.5870  -16.5661  -16.5540  -15.7966
   148    296      6  -16.4221  -16.7012  -16.7184  -16.6811  -16.6629  -15.8453
   149    298      6  -16.6295  -16.8487  -16.8398  -16.7881  -16.7650  -15.8917
   150    300      6  -16.8264  -16.9883  -16.9533  -16.8888  -16.8620  -15.9360
   151    302      6  -17.0131  -17.1200  -17.0589  -16.9834  -16.9538  -15.9776
   152    304      6  -17.1913  -17.2430  -17.1560  -17.0712  -17.0395  -16.0166
   153    306      6  -17.3674  -17.3569  -17.2411  -17.1482  -17.1161  -16.0495
   154    308      6  -17.5336  -17.4634  -17.3182  -17.2185  -17.1869  -16.0768
